Jordan Nolan,Los Angeles
Chris Terry,Carolina
Martin Hanzal,Arizona
Mark Stone,Ottawa
Alex Ovechkin,Washington
John Tavares,New York Islanders
Gabriel Landeskog,Colorado
Jaromir Jagr,Florida
Rick Nash,New York Rangers
Tyler Ennis,Buffalo
Ryan Ellis,Nashville
Brett Connolly,Boston
Marian Hossa,Chicago
Paul Martin,San Jose
Teuvo Teravainen,Chicago
Rickard Rakell,Anaheim
Viktor Stalberg,New York Rangers
Andre Burakovsky,Washington
Marek Zidlicky,New York Islanders
Dave Bolland,Florida
Rob Scuderi,Pittsburgh
Jake Gardiner,Toronto
Patrick Wiercioch,Ottawa
Brayden Schenn,Philadelphia
Jesper Fast,New York Rangers
Olli Maatta,Pittsburgh
Erik Haula,Minnesota
Clayton Stoner,Anaheim
Ryan Garbutt,Chicago
Brian Strait,New York Islanders
Matt Tennyson,San Jose
Calle Jarnkrok,Nashville
Barret Jackman,Nashville
Jonas Brodin,Minnesota
Brian O'Neill,New Jersey
Mark Pysyk,Buffalo
Jake McCabe,Buffalo
Dominic Moore,New York Rangers
Andy Andreoff,Los Angeles
Andrew Desjardins,Chicago
Tyson Barrie,Colorado
Tyler Bozak,Toronto
Zdeno Chara,Boston
Ryan Getzlaf,Anaheim
Matt Beleskey,Boston
Mikhail Grigorenko,Colorado
Brad Marchand,Boston
Brian Gionta,Buffalo
Kevan Miller,Boston
Ryan Murphy,Carolina
David Legwand,Buffalo
Jakub Kindl,Detroit
Sam Gagner,Philadelphia
Jake Virtanen,Vancouver
Jyrki Jokipakka,Dallas
Danny DeKeyser,Detroit
Noah Hanifin,Carolina
Jared Cowen,Ottawa
Dmitry Kulikov,Florida
Quinton Howden,Florida
Curtis Lazar,Ottawa
Ryan White,Philadelphia
Andrew Copp,Winnipeg
Alexei Emelin,Montreal
Darren Helm,Detroit
Josh Jooris,Calgary
Marc Methot,Ottawa
Zemgus Girgensons,Buffalo
Joonas Kemppainen,Boston
Radko Gudas,Philadelphia
Mark Fayne,Edmonton
Zac Rinaldo,Boston
Mike Hoffman,Ottawa
Nicklas Backstrom,Washington
Brandon Dubinsky,Columbus
Scott Gomez,St. Louis
Mark Streit,Philadelphia
Colin Miller,Boston
Brad Boyes,Toronto
Joe Colborne,Calgary
Peter Holland,Toronto
Ondrej Palat,Tampa Bay
Christian Ehrhoff,Los Angeles
Brandon Sutter,Vancouver
Joonas Donskoi,San Jose
Cody Goloubef,Columbus
Dan Boyle,New York Rangers
Luke Schenn,Philadelphia
Austin Watson,Nashville
Kevin Connauton,Columbus
Jiri Tlusty,New Jersey
Adam Cracknell,Vancouver
Brandon Manning,Philadelphia
Scottie Upshall,St. Louis
Brandon Bollig,Calgary
Jonathon Merrill,New Jersey
Mike Green,Detroit
Marco Scandella,Minnesota
Beau Bennett,Pittsburgh
Byron Froese,Toronto
Yannick Weber,Vancouver
Robby Fabbri,St. Louis
Riley Nash,Carolina
Steve Ott,St. Louis
Nick Spaling,Toronto
Viktor Svedberg,Chicago
Rene Bourque,Columbus
Dalton Prout,Columbus
Jonathan Drouin,Tampa Bay
Alex Tanguay,Colorado
Luca Sbisa,Vancouver
Jamie McBain,Los Angeles
Alexander Semin,Montreal
Antoine Vermette,Arizona
